date,open,high,low,close,ticker
2021-09-13,185.3,187.92,183.6,185.23,MMM
2021-09-14,185.65,186.0,181.68,182.42,MMM
2021-09-15,182.82,185.11,182.33,184.19,MMM
2021-09-16,184.15,184.6,181.8243,182.66,MMM
2021-09-17,181.09,182.6599,179.41,181.49,MMM
2021-09-20,178.64,181.74,178.29,180.53,MMM
2021-09-21,180.97,181.08,177.7,178.42,MMM
2021-09-22,179.31,180.9479,178.94,179.84,MMM
2021-09-23,180.15,182.85,180.0,181.53,MMM
2021-09-24,181.5,182.07,180.615,181.04,MMM
2021-09-27,180.83,183.16,180.81,181.79,MMM
2021-09-28,181.82,182.854,179.77,180.05,MMM
2021-09-29,179.92,181.3913,179.17,180.88,MMM
2021-09-30,181.72,182.06,175.37,175.42,MMM
2021-10-01,176.25,177.41,174.22,176.68,MMM
2021-10-04,174.15,177.1,173.78,176.04,MMM
2021-10-05,176.18,178.61,175.57,177.88,MMM
2021-10-06,176.63,178.55,175.52,178.4,MMM
2021-10-07,180.0,180.78,177.7,177.8,MMM
2021-10-08,177.57,178.1,176.7756,176.95,MMM
2021-10-11,178.02,178.6,176.2,176.28,MMM
2021-10-12,176.3,176.89,175.13,175.53,MMM
2021-10-13,175.61,178.4,175.04,177.17,MMM
2021-10-14,178.0,180.4,177.95,180.32,MMM
2021-10-15,180.69,183.0,180.68,181.94,MMM
2021-10-18,180.79,181.92,179.34,181.72,MMM
2021-10-19,182.44,182.85,181.64,182.31,MMM
2021-10-20,182.59,183.18,182.04,182.42,MMM
2021-10-21,182.85,183.03,180.52,182.12,MMM
2021-10-22,182.57,183.29,180.78,180.8,MMM
2021-10-25,180.5,182.95,179.45,182.4,MMM
2021-10-26,181.07,183.82,179.17,182.16,MMM
2021-10-27,182.27,182.34,178.08,178.24,MMM
2021-10-28,178.25,180.01,178.24,179.87,MMM
2021-10-29,179.71,180.91,178.1196,178.68,MMM
2021-11-01,178.53,179.74,177.51,179.58,MMM
2021-11-02,179.99,182.1,179.61,181.97,MMM
2021-11-03,181.79,182.62,179.98,182.23,MMM
2021-11-04,182.47,182.96,180.24,180.61,MMM
2021-11-05,182.12,183.82,180.95,181.8,MMM
2021-11-08,182.66,183.43,180.27,181.54,MMM
2021-11-09,181.37,182.57,180.45,181.33,MMM
2021-11-10,181.33,182.84,180.0,182.42,MMM
2021-11-11,183.01,183.04,179.51,180.21,MMM
2021-11-12,180.95,186.3,180.285,183.66,MMM
2021-11-15,184.09,185.04,182.9,183.31,MMM
2021-11-16,183.31,184.2,182.7,183.37,MMM
2021-11-17,183.37,183.87,181.63,183.34,MMM
2021-11-18,182.11,182.54,178.69,178.77,MMM
2021-11-19,179.44,180.81,178.12,179.23,MMM
2021-09-13,160.64,161.8,159.75,161.45,AXP
2021-09-14,162.68,165.83,158.78,159.48,AXP
2021-09-15,160.02,162.31,159.21,161.34,AXP
2021-09-16,163.1,164.5,162.2,162.63,AXP
2021-09-17,161.57,164.25,161.57,163.92,AXP
2021-09-20,159.36,162.14,157.95,160.57,AXP
2021-09-21,161.91,165.35,161.69,163.27,AXP
2021-09-22,165.62,168.62,164.9,167.49,AXP
2021-09-23,169.49,174.1,169.31,173.36,AXP
2021-09-24,173.37,176.0,173.3,175.72,AXP
2021-09-27,177.67,178.8,176.33,176.77,AXP
2021-09-28,175.49,177.24,172.685,173.14,AXP
2021-09-29,172.89,172.98,170.4,171.54,AXP
2021-09-30,172.18,172.36,167.41,167.53,AXP
2021-10-01,168.5,175.12,168.48,173.94,AXP
2021-10-04,173.88,177.23,171.88,172.66,AXP
2021-10-05,173.43,176.06,172.64,174.76,AXP
2021-10-06,172.55,174.9,169.9,173.4,AXP
2021-10-07,175.5,176.8681,173.7,174.29,AXP
2021-10-08,173.85,176.98,173.53,175.15,AXP
2021-10-11,175.79,176.79,173.33,173.46,AXP
2021-10-12,173.61,176.56,173.1,174.91,AXP
2021-10-13,172.78,174.0861,167.08,168.72,AXP
2021-10-14,171.0,172.38,169.81,171.51,AXP
2021-10-15,173.77,177.77,173.15,175.81,AXP
2021-10-18,175.58,177.605,174.33,176.82,AXP
2021-10-19,177.73,178.0,176.26,177.31,AXP
2021-10-20,176.95,179.77,176.21,179.6,AXP
